ACO,BMType,Count,RA_2000,Dec_2000,Redshift,Richness,D_class,Mag_10,GLON_2000,GLAT_2000
150,I-II,55,17.299999999999997,13.15,.0596,1,5,16.6,129.5972501073913,-49.49173738308926
151,II:,72,17.224999999999998,-15.416666666666666,.0526,1,3,15.0,142.92282060229272,-77.6054246296871
152,,46,17.45,13.966666666666667,,0,5,17.2,129.68523024218456,-48.66415867296637
153,II:,108,17.424999999999997,5.216666666666667,,2,6,17.6,131.3821560522625,-57.35514747757902
154,II,66,17.749999999999996,17.65,.0658,1,3,15.6,129.52582923884464,-44.97114513030468
155,II-III:,51,17.574999999999996,-24.816666666666666,,1,6,17.5,185.37771148427754,-85.17208410097379
156,,65,17.95,33.43333333333333,,1,5,16.9,127.80017820864833,-29.245865916472308
157,II,61,17.775,-14.4,,1,5,16.9,143.71301544158902,-76.47196670872053
158,,46,17.95,16.866666666666667,.0645,0,4,15.9,129.91876434246765,-45.728666198067856
159,III,51,17.999999999999996,-15.1,,1,5,17.2,145.64908124099972,-77.0558751144913
160,III,34,18.224999999999998,15.5,.0447,0,4,15.7,130.53211330996268,-47.0547865498121
161,,41,18.699999999999996,37.4,,0,4,16.4,128.05936031150162,-25.23904726476155
162,III,68,18.549999999999997,2.8666666666666667,,1,5,16.6,134.18597551774036,-59.506795949267335
163,III,88,18.65,24.716666666666665,,2,6,17.5,129.59755315387525,-37.855118677876355
164,III,60,18.574999999999996,-3.75,,1,6,17.6,137.06950149553072,-65.99223324046027
165,,37,18.849999999999998,32.583333333333336,,0,6,17.5,128.76090773000107,-30.017063122260534
166,III:,76,18.65,-16.266666666666666,.1156,1,6,17.7,150.4129093594566,-77.8843168247606
167,III,78,18.849999999999998,24.466666666666665,,1,6,17.5,129.86342662625654,-38.082364311891645
168,II-III:,89,18.799999999999997,0.23333333333333334,.0452,2,3,15.4,135.68804872586352,-62.04846809404334
169,,63,19.124999999999996,41.1,,1,5,16.7,128.00387210530866,-21.524802784082066
170,,37,19.025,13.083333333333334,,0,6,17.7,132.17211283524844,-49.34543733021501
171,I,42,19.2,16.25,.0706,0,4,15.9,131.74139204218952,-46.18747708877639
172,II:,75,19.249999999999996,3.2333333333333334,,1,5,16.9,135.39907892071673,-59.01826825917414
173,,74,19.7,38.983333333333334,,1,6,17.4,128.72981991439022,-23.58018187098731
174,,36,19.95,35.8,,0,4,15.8,129.36725527128561,-26.717096197098588
175,III:,84,19.9,14.866666666666667,.1287,2,5,17.0,133.02205202782966,-47.45258772865009
176,II-III:,56,19.9,-8.133333333333333,,1,6,17.6,143.5749724976264,-69.86833407298714
177,III,68,19.999999999999996,-21.016666666666666,,1,6,17.5,171.29219224144833,-81.06792917581647
178,II:,77,20.449999999999996,20.066666666666666,,1,5,17.1,132.57904027323917,-42.23563368836658
179,III,31,20.449999999999996,19.466666666666665,.0547,0,3,15.3,132.70893970139196,-42.827948941627085
180,I,33,20.474999999999998,3.0,.135,0,5,17.0,137.8165353896315,-58.988598557740595
181,II-III:,74,20.499999999999996,0.2833333333333333,,1,5,17.2,139.17583810985988,-61.62076317601036
182,,49,20.55,-6.916666666666667,,0,6,17.6,144.19340657585644,-68.50918488314456
183,,39,20.474999999999998,-21.9,,0,5,16.5,177.52950610814247,-81.32359216031185
184,II-III:,78,20.674999999999997,13.033333333333333,,1,6,17.8,134.6125197578005,-49.12810185837819
185,III,74,20.599999999999998,-21.466666666666665,,1,5,17.1,175.8350811875075,-80.95861092106875
186,II,56,20.674999999999997,-10.416666666666666,.1029,1,5,17.2,148.19650615017298,-71.73800655441714
187,III,111,20.624999999999996,-19.216666666666665,,2,6,17.5,166.5933237882758,-79.3500571590793
188,II-III:,57,20.699999999999996,-12.766666666666667,.1230,1,5,17.2,151.5453938121523,-73.87032720204995
189,III,50,20.924999999999997,1.6333333333333333,.0335,1,4,15.7,139.32756095382433,-60.20738807602675
190,,33,20.924999999999997,-9.85,.1015,0,5,17.2,148.22243677081167,-71.12026249956443
191,III,89,21.099999999999998,20.9,,2,6,17.5,133.2008200278429,-41.31357536353607
192,I:,90,21.075,4.466666666666667,,2,6,17.6,138.274386161993,-57.422901867977814
193,II,58,21.275,8.683333333333334,.0482,1,4,16.0,136.9315914818908,-53.270957012113065
194,II,37,21.4,-1.5,.0178,0,1,13.9,142.0835169192523,-63.09445386372141
195,II,32,21.724999999999998,19.166666666666668,.0422,0,3,15.3,134.39688150913406,-42.91425072219476
196,III,77,21.799999999999997,23.2,,1,6,17.5,133.51359271666539,-38.93582763090054
197,III:,65,21.674999999999997,-18.1,,1,5,17.1,166.75110256157882,-77.85486850818218
198,III,110,21.749999999999996,-16.433333333333334,,2,6,17.8,162.3533873485102,-76.50081782898178
199,,46,21.775,-17.783333333333335,,0,6,17.5,166.1351516481473,-77.55135176662579
200,III:,57,22.0,15.2,,1,5,17.1,135.86084688336967,-46.751856596344844
201,,43,22.024999999999995,16.516666666666666,,0,5,17.1,135.5069777932675,-45.45802391585197
202,II-III,111,21.974999999999994,7.266666666666667,,2,6,17.8,138.62948565729903,-54.48999895527867
