,RAhour,DEdeg,radius,d
545,6.1665,-7.985,0.135,1581.0
546,6.1665,-6.32,0.16,1627.0
547,6.1672,24.55,0.1,3220.0
548,6.1715,13.017,0.17,1994.0
549,6.1739,16.833,0.11,1721.0
550,6.176,16.97,0.17,1444.0
551,6.18,-6.2,0.39,1047.0
552,6.182,20.615,0.1,1664.0
553,6.1828,14.396,0.24,2397.0
554,6.1885,-3.42,0.18,621.0
555,6.1894,11.871,0.12,2187.0
556,6.196,7.02,0.17,2450.0
557,6.2025,5.463,0.13,1445.0
558,6.202,1.055,0.15,1468.0
559,6.2045,5.185,0.16,1917.0
560,6.207,13.02,0.16,2180.0
561,6.2282,6.953,0.205,1861.0
562,6.2168,15.93,0.13,1659.0
563,6.2284,14.995,0.1,4597.0
564,6.2285,21.552,0.125,1485.0
565,6.2295,12.818,0.24,2804.0
566,6.234,-9.375,0.14,830.0
567,6.2375,22.483,0.1,1893.0
568,6.2375,14.8,0.125,2421.0
569,6.242,0.66,0.205,771.0
570,6.2445,-29.38,0.105,1070.0
571,6.246,19.019,0.075,2140.0
572,6.2472,12.865,0.085,2874.0
573,6.2498,12.338,0.11,1934.0
574,6.2547,39.868,0.18,3501.0
575,6.251,3.85,1.3,347.0
576,6.2592,-18.66,0.155,3790.0
577,6.2623,19.005,0.115,2167.0
578,6.2632,14.277,0.085,2669.0
579,6.2735,36.365,0.15,5444.0
580,6.2753,-8.945,0.11,1209.0
581,6.281,6.027,0.13,1940.0
582,6.2928,22.427,0.09,2075.0
583,6.298,-1.69,0.18,2589.0
584,6.3006,24.695,0.13,3435.0
585,6.305,20.54,0.155,1243.0
586,6.3173,14.13,0.1,1734.0
587,6.316,7.327,0.155,2928.0
588,6.3227,18.51,0.14,1380.0
589,6.32,23.35,0.26,1021.0
590,6.3393,46.675,0.375,600.0
591,6.3398,-7.005,0.125,3009.0
592,6.348,-44.7,0.125,1393.0
593,6.348,-7.295,0.325,1141.0
594,6.364,2.374,0.255,1467.0
595,6.3632,27.1,0.08,4193.0
596,6.3631,15.733,0.14,4610.0
597,6.3677,-6.319,0.085,7881.0
598,6.3705,23.41,0.15,1536.0
599,6.3723,14.705,0.19,1619.0
600,6.382,5.1,0.215,2670.0
601,6.384,24.532,0.145,2473.0
602,6.3855,23.199,0.14,1522.0
603,6.3873,4.59,0.16,1775.0
604,6.3955,-4.695,0.145,2325.0
605,6.3975,14.1,0.135,2670.0
606,6.3975,14.515,0.085,1994.0
607,6.404,18.017,0.165,2981.0
608,6.4125,-10.265,0.15,1287.0
609,6.418,-23.31,0.14,1871.0
610,6.4215,-10.555,0.15,1918.0
611,6.424,14.575,0.14,1786.0
612,6.4231,13.867,0.155,5302.0
613,6.4215,19.78,0.145,3065.0
614,6.426,17.72,0.145,1296.0
615,6.4312,15.86,0.13,2991.0
616,6.4437,-9.64,0.15,3201.0
617,6.466,-4.795,0.38,330.0
618,6.4725,2.935,0.12,1710.0
619,6.4765,16.927,0.115,3161.0
620,6.479,-6.98,0.29,381.0
621,6.48,33.645,0.12,2443.0
622,6.4877,14.255,0.09,4783.0
623,6.489,16.759,0.16,6871.0
624,6.4887,9.165,0.11,2394.0
625,6.4928,-31.285,0.165,4446.0
626,6.4945,6.817,0.165,2654.0
627,6.505,3.39,0.16,1791.0
628,6.5085,2.845,0.11,1056.0
